Name,Date of Birth,City,email-air india,email-indigo,email-vistara,points-air india,points-indigo,points-vistara,address,Phone no.,SerialIndex
Jalsa Trivedi,2005-07-18,Patna,natarajanavi@example.net,,,3728,0,0,"991, Mistry Zila",914495095214,1
Darsh Ghosh,1978-01-29,Patna,basudamyanti@example.net,,basudamyanti@example.net,1915,0,1915,"36/24, Keer Path",8404018441,2
Darsh Trivedi,2011-09-02,Patna,nikitagera@example.com,,,3598,0,0,"43/75
Khalsa Zila",910268560438,3
Gaurika Lal,2003-01-05,Patna,ishitasodhi@example.com,,,2601,0,0,"07/17, Hari Ganj",4092944063,4
Upadhriti Kothari,2001-04-11,Vadodara,niharikamagar@example.org,,,1196,0,0,"H.No. 599, Dash Nagar",8841089475,5
Manya Sarraf,1989-11-02,Vadodara,sachdevbhavani@example.net,,,3000,0,0,"42/54, Kanda Nagar",9020380352,6
Bahadurjit Krishna,1958-04-14,Vadodara,jalsa10@example.org,,,773,0,0,"886, Choudhry Circle",4428210688,7
Ranbir Sawhney,2010-04-13,Vadodara,vinayachana@example.org,,,277,0,0,"H.No. 233
Saxena Ganj",914690223688,8
Yug Aggarwal,1991-11-15,Vadodara,amaira62@example.net,,,1907,0,0,"38, Sarna",7366232471,9
Anamika Bakshi,1954-03-28,Vadodara,chaudrykritika@example.net,,,4876,0,0,"13, Majumdar",2498637628,10
Rehaan Palan,1983-12-20,Bengaluru,radhakrishnanquincy@example.net,,radhakrishnanquincy@example.net,4993,0,4993,"H.No. 76, Pingle Zila",149300933,11
Triveni Shah,1998-04-08,Bengaluru,gauranggoswami@example.com,,gauranggoswami@example.com,660,0,660,"56/94, Boase",930891409,12
Mekhala Tandon,1989-04-28,Ghaziabad,jayaramanjanya@example.net,,jayaramanjanya@example.net,3264,0,3264,"11/76, Munshi Road",5451211182,13
Pranav Basak,2004-02-17,Nagpur,lmukherjee@example.org,,lmukherjee@example.org,3389,0,3389,"095
Pradhan Road",919875560215,14
Ishwar Nigam,1960-01-23,Meerut,pallaviraman@example.org,,pallaviraman@example.org,2355,0,2355,"84/371
Goyal Road",911644311975,15
Caleb Bhatia,1996-01-18,Meerut,pavanipatla@example.com,,pavanipatla@example.com,2702,0,2702,"48/064
Loyal Nagar",8259209696,16
Yashica Dixit,2003-04-16,Meerut,tbrahmbhatt@example.net,,tbrahmbhatt@example.net,2867,0,2867,"923, Menon Zila",916235009529,17
Falak Dave,1970-04-17,Meerut,edar@example.com,,edar@example.com,697,0,697,"H.No. 06
Merchant Zila",9338127646,18
Ojasvi Mitra,1971-10-31,Tirupati,ahluwaliadivya@example.com,,,4150,0,0,"H.No. 93
Parekh Street",4551232904,19
Upadhriti Kamdar,1969-11-15,Tirupati,aroramax@example.com,,,1746,0,0,"78
Sagar Circle",5602737320,20
Siddharth Cheema,1951-08-16,Tirupati,anmolbehl@example.org,,,4599,0,0,"H.No. 881
Narayan",1262880350,21
